Type,Label,ParentType,LabelParentType
Chalet,Chalet,AccommodationProduct,Produit d'hébergement
ChamberOfCommerceAndIndustry,Chambre de commerce et d'industrie,BusinessPlace,Site d'affaires
ChildrensGite,Gîte d'enfants,CollectiveAccommodation,Hébergement collectif
ChildrensEvent,Evènement jeune public,CulturalEvent,Évènement culturel
CircusEvent,Spectacle de cirque,CulturalEvent,Évènement culturel
Citadel,Citadelle,DefenceSite,Site de défense
ChalkyLawn,Pelouse calcaire,NaturalHeritage,Site naturel
Cirque,Cirque naturel,NaturalHeritage,Site naturel
Chapel,Chapelle,ReligiousSite,Site religieux
Church,Eglise,ReligiousSite,Site religieux
Chartreuse,Chartreuse,RemarkableBuilding,Bâtiment civil remarquable
Cinema,Cinéma,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
Cinematheque,Cinémathèque,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
CircusPlace,Cirque,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
HalophilicArea,Zone halophile,NaturalHeritage,Site naturel
Commemoration,Commémoration,CulturalEvent,Évènement culturel
CommonFeatureSpecification,Spécification d'équipement commun,FeatureSpecification,Spécification d'équipement et service
Cliff,Falaise,NaturalHeritage,Site naturel
Coastline,Côte, littoral,NaturalHeritage,Site naturel
Col,Col,NaturalHeritage,Site naturel
Competition,Compétition,Practice,Pratique
Cloister,Cloître,ReligiousSite,Site religieux
Collegiate,Collégiale,ReligiousSite,Site religieux
Commanderie,Commanderie,ReligiousSite,Site religieux
CivilCemetery,Cimetière civil,RemembranceSite,Lieu de mémoire
ClimbingWall,Site et mur d'escalade,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
Tent,Tente,AccommodationProduct,Produit d'hébergement
Tipi,Tipi,AccommodationProduct,Produit d'hébergement
TheaterEvent,Pièce de théâtre,CulturalEvent,Évènement culturel
Bed,Lit,AccommodationProduct,Produit d'hébergement
Bastide,Bastide,CityHeritage,Ville et village
BarOrPub,Bar, bar à thème,FoodEstablishment,Restauration
BistroOrWineBar,Bistrot - Bar à vin,FoodEstablishment,Restauration
Beach,Plage,NaturalHeritage,Site naturel
Basilica,Basilique,ReligiousSite,Site religieux
Bishopric,Evéché,ReligiousSite,Site religieux
BalneotherapyCentre,Centre de balnéothérapie,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
BeachClub,Club de plage,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
BilliardRoom,Salle de billard,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
BikeStationOrDepot,Station ou dépôt de vélo,Transport,Transport
Yurt,Yourte,AccommodationProduct,Produit d'hébergement
WorkMeeting,Réunion de travail,BusinessEvent,Evènement professionnel d'entreprise
YouthHostelAndInternationalCenter,Auberge de jeunesse et centre international de séjour,CollectiveAccommodation,Hébergement collectif
WaterSource,Point d'eau,ConvenientService,Service pratique
WifiHotSpot,Hotspot Wifi,ConvenientService,Service pratique
Wetland,Zone humide,NaturalHeritage,Site naturel
YachtClub,Yacht Club,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
ZooAnimalPark,Zoo - parc animalier,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
WineCellar,Cave de dégustation,TastingProvider,Fournisseur de dégustation
GeographicReach,Portée géographique,Audience,Audience
GroupLodging,Gîte de groupe,CollectiveAccommodation,Hébergement collectif
GarageOrAirPump,Borne ou station de réparation - gonflage,ConvenientService,Service pratique
Glacier,Glacier de montagne,NaturalHeritage,Site naturel
Gorge,Gorge,NaturalHeritage,Site naturel
Grassland,Prairie,NaturalHeritage,Site naturel
GeneralPricingOffer,Prestation tarifée générale,PricingOffer,Prestation tarifée
Guesthouse,Chambre d'hôtes,RentalAccommodation,Hébergement locatif
GourmetRestaurant,Restaurant gastronomique,Restaurant,Restaurant
GarageSale,Vide-grenier,SaleEvent,Evènement commercial
GolfCourse,Terrain de golf,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
Gymnasium,Salle ou terrain de sport, gymnase,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
AccommodationAmenity,Équipement et service d'hébergement,Amenity,Équipement et service
AccommodationFeatureSpecification,Spécification d'équipement-service d'hébergement,FeatureSpecification,Spécification d'équipement et service
Accommodation,Hébergement,PlaceOfInterest,Lieu
ActivityProvider,Prestataire d'activité,PlaceOfInterest,Lieu
AccompaniedPractice,Accompagnement,Practice,Pratique
AccommodationPricingOffer,Prestation tarifée d'hébergement,PricingOffer,Prestation tarifée
ActivityPricingOffer,Prestation tarifée d'une activité,PricingOffer,Prestation tarifée
AccommodationProduct,Produit d'hébergement,Product,Produit
Abbey,Abbaye,ReligiousSite,Site religieux
Airfield,Aérodrôme,Transport,Transport
Airport,Aéroport,Transport,Transport
CulturalActivityProvider,Prestataire d'activité culturelle,ActivityProvider,Prestataire d'activité
CulturalHeritageAmenity,Équipement et service de patrimoine culturel,Amenity,Équipement et service
Cybercafe,Cybercafé,ConvenientService,Service pratique
CulturalEvent,Évènement culturel,EntertainmentAndEvent,Fête et manifestation
CulturalHeritageFeatureSpecification,Spécification d'équipement de patrimoine culturel,FeatureSpecification,Spécification d'équipement et service
Cuesta,Cuesta,NaturalHeritage,Site naturel
Culture,Culture,NaturalHeritage,Site naturel
CulturalSite,Site culturel,PlaceOfInterest,Lieu
CrossCountrySkiResort,Domaine de ski nordique,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
CrossCountrySkiTrail,Piste de ski de fond,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
CuisineCategory,Type de cuisine,Theme,Thème
CulturalTheme,Culture,Theme,Thème
District,Quartier,CityHeritage,Ville et village
DanceEvent,Spectacle de danse,CulturalEvent,Évènement culturel
DefenceSite,Site de défense,CulturalSite,Site culturel
Dungeon,Donjon,DefenceSite,Site de défense
Dune,Dune,NaturalHeritage,Site naturel
DevelopmentCourse,Stage de perfectionnement,Practice,Pratique
CycleRouteTheme,Itinéraire vélo route,RouteTheme,Nom d'itinéraire
DogSleddingTrail,Piste de chien de traineau,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
DownhillSkiResort,Domaine de ski alpin,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
DownhillSkiRun,Piste de ski alpin,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
DepartmentStore,Grand magasin,Store,Commerce de détail
CyclingTour,Itinéraire cyclable,Tour,Itinéraire touristique
DepartementTourismCommittee,Comité départemental du tourisme,TouristInformationCenter,Service d'information touristique
TypeOfBed,Type de lit,AccommodationAmenity,Équipement et service d'hébergement
TreeHouse,Cabane dans les arbres,AccommodationProduct,Produit d'hébergement
TrainingWorkshop,Atelier de formation,BusinessEvent,Evènement professionnel d'entreprise
Valley,Vallée,NaturalHeritage,Site naturel
Transport,Transport,PlaceOfInterest,Lieu
Traineeship,Stage, atelier,Practice,Pratique
TriumphalArch,Arc de triomphe,RemembranceSite,Lieu de mémoire
Transporter,Transporteur,ServiceProvider,Prestataire de service
TraditionalCelebration,Fête traditionnelle,SocialEvent,Evènement social
Trampoline,Tremplin,SportsAndLeisurePlace,Site sportif, récréatif et de loisirs
Trader,Négociant,TastingProvider,Fournisseur de dégustation
UnderwaterRoute,Itinéraire sous-marin,Tour,Itinéraire touristique
TrainStation,Gare ferroviaire,Transport,Transport
RentalAccommodation,Hébergement locatif,Accommodation,Hébergement
Room,Chambre,AccommodationProduct,Produit d'hébergement
RoomAmenity,Pièce,Amenity,Équipement et service
RomanPath,Voie romaine,ArcheologicalSite,Site archéologique
RemembranceSite,Lieu de mémoire,CulturalSite,Site culturel
RoomFeatureSpecification,Spécification d'équipement de pièce,FeatureSpecification,Spécification d'équipement et service
Restaurant,Restaurant,FoodEstablishment,Restauration
River,Rivière ou fleuve,NaturalHeritage,Site naturel
RentalPricingOffer,Prestation tarifée de location (hors hébergement): vélo, salle de réunion,PricingOffer,Prestation tarifée
Rental,Location,Product,Produit
RoadTour,Itinéraire routier,Tour,Itinéraire touristique
RiverPort,Halte et port fluvial,Transport,Transport
VisualArtsEvent,Son et lumière, feu d'artifice,CulturalEvent,Évènement culturel
Volcano,Volcan,NaturalHeritage,Site naturel
